Nome;telefone;email
Ricardo Martins Souza;11-983046371;rmasouza@hotimail.com
Ricardo Martins Souza;11-983046371;rmouza@hotimail.com
Ricardo Martins Souza;11-983046390;r@hotimail.com
Ricardo Martins Souza;11-983046391;r@hotimail.com
Antom Cusão;11-983046372;rmasouza@hotimail.com
Puta;11-983046373;rmasouza@hotimail.com
Puta;11-983046373;rmasouza@hotimail.com
Puta;11-983000;rmasouza@hotimail.com
Puta;11-983000;rmasouza@hoti
teste;11-983046377;rmasouza@hotimail.com
aaa;11-983046379;rmasouza@hotimail.com
Bivo;11-983046380;rmasouza@hotimail.com
ovo;11-983046381;rmasouza@hotimail.com
ovô;11-983046382;rmasouza@hotimail.com
Cusao;11-983046383;rmasouza@hotimail.com
sao;11-983046384;rmasouza@hotimail.com
cusao;11-983046385;rmasouza@hotimail.com
ATO viado;1;rmasouza@hoti
UPA minhas bolas;2;rmasouza@hoti
AAAAAAAA;3;rmasouza@hoti
XXXXXXXXXX;4;rmasouza@hoti
putão;5;rmasouza@hoti
ATO veado;6;rmasouza@hoti
"""@#$@!$#@!$@";7;rmasouza@hoti
Bunda veia;8;rmasouza@hoti
ZZZZZZ;9;
ZZPPPP;10;
HJGFF;11;rmasouza@hoti
SSSS;12;
S;13;rmasouza@hoti
p;14;
w;15;
ww;16;rmasouza@hoti
ww;17;
raaaai;18;
;yyyy;rmasouza@hoti
daddd;;rmasouza@hoti
"""""";"""";""""""""
